,Name ,Client,Description,Comments,Tags,Link,Additional Prompt ,old images,image,image,image with scroll bar,morning images
11,Preqin Grammar correction ,Preqin,AI-enabled grammar correction utilizes advanced algorithms to enhance writing accuracy by identifying and rectifying grammatical errors in real-time.,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbzPYgfi7hi2GG4SLvXVrhamw2SAOLG6HZ3dNjEVyY0xUCcSnbMNAZwCq4gYCm-xH-nqVw/exec,https://docs.google.com/spreadsheets/d/1IBZyDaakKlMkTTk-ejsANjFtaYGCrUrV6omMezhnX2Y/edit?gid=25104541#gid=25104541,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1253).png,https://drive.google.com/file/d/1mOy3sgk_UOgF-n4HIUPJOa833-WbDCPb/view?usp=drive_link,https://drive.google.com/file/d/1mOy3sgk_UOgF-n4HIUPJOa833-WbDCPb/view?usp=drive_link,https://drive.google.com/file/d/1mOy3sgk_UOgF-n4HIUPJOa833-WbDCPb/view?usp=drive_link,https://drive.google.com/file/d/1mOy3sgk_UOgF-n4HIUPJOa833-WbDCPb/view?usp=drive_link
12,Chat Assist,,An AI-enabled chat assistant that integrates agent input to generate concise summaries and actionable item.,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxDxYYuJhT2NNE-EmWzi0YCzF5cbLf1799sI143TND9LJYtGu3e1B3gwd8qBhIATMM0/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1254).png,https://drive.google.com/file/d/1wEm_yqNN3sythowck8CsKh1O-ckXPOq1/view?usp=drive_link,https://drive.google.com/file/d/16zyP85RV3N2-YpfhsSzl-jZlpBKfEqIK/view?usp=drive_link,https://drive.google.com/file/d/1gstHHJujNQ7gR_poxFi6N5Vt-QdGdg2U/view?usp=drive_link,https://drive.google.com/file/d/1L3M78avPhRoAdOWlqn7LnB6IBr0JXQse/view?usp=drive_link
13,JHI Demo - Data reconcilation,,AI-enabled data reconciliation streamlines the verification process by automating data comparison and generating comprehensive summaries and reports for enhanced decision-making,,"LLM, GenAI",https://script.google.com/a/macros/straive.com/s/AKfycbxuVKyohYk7v0zz3zRoVOXPpv2yQx85-7wcF9qfQzAe6UFRATTM9xICp5LOqdJxa9IL/exec,,https://raw.githubusercontent.com/Harshith-Vajinepalli/screenshots_of_pages/main/Screenshot%20(1255).png,https://drive.google.com/file/d/1ydaYkMsdqX143jQjCYc-uODv2NjRqhMA/view?usp=drive_link,https://drive.google.com/file/d/1OkOTf7q1ay7VqmWS325NlI7QffEm5oh3/view?usp=drive_link,https://drive.google.com/file/d/1TA8lF_fGXy428mCny3LTpL6Vq05eknM-/view?usp=drive_link,https://drive.google.com/file/d/1I5L6NNus9Jqm4vmdrd143r8enFMhtqJR/view?usp=drive_link
14,Code Conversion,,"This application has capabilities that transforms uploaded PHP projects to Node.js equivalents using an LLM-based pipeline. Users can preview their original structure, see a recommended layout, and download the converted code as a ZIP. The interface includes progress tracking, theme toggling, and toast notifications.",,"LLM, GenAI",https://mounesh301.github.io/Code_converter/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130452.png,,,,
15,Track Change and LLM Analysis,,"The application functions like a document change tracker, allowing users to see modifications and contributors.",,"LLM, GenAI",https://explore-sdp.straive.com:8083,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 125501.png,,,,
16,Doc Search,,"Docsearch is a Q&A tool that allows users to upload documents and URLs, creating embeddings for information extraction. It enables users to ask questions and receive context-based answers, complete with citations and follow-up questions, enhancing the search and retrieval of relevant information from the uploaded content.",,"LLM, GenAI",https://docsearch.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 125719.png,,,,
17,Reconcile,,"The Data Reconciliation Dashboard is a powerful AI-enabled tool designed to streamline the verification process of data across various sources. This comprehensive dashboard provides users with a clear and intuitive interface to monitor, analyze, and report on data discrepancies, ensuring enhanced decision-making and operational efficiency.",,"LLM, GenAI",https://reconcileai.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-17 132250.png,,,,
18,Data Chat,L&T,"Data Chat is an innovative application that enhances user interaction with complex datasets by intelligently processing CSV files. It generates insightful questions and answers, allowing users to explore data effectively. Key features include a query-saving option and a feedback mechanism for improving responses from the language model.",,"LLM, GenAI",https://datachat.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130134.png,,,,
19,RFP Automation,"Microsoft, Panasonic, PG","This application is designed to facilitate the management and organization of Request for Proposal (RFP) processes by providing users with various tools. These tools include generating RFP Summaries, Bid Plan, Bid Team, Answering questions related to RFPS etc. User can also track responses and re-evaluate the goodness of the answers that are generated using Generative AI that uses RFP as a context.",,"LLM, GenAI",https://llmfoundry.straive.com/apps/RFP-Dashboard.html,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 125913.png,,,,
20,Response Creator,"Microsoft, Panasonic, PG","The application is a Q&A tool that extracts information from uploaded documents and URLs. Users can ask questions, receive answers based on document context, and select specific files for queries. It offers an AI accuracy check, allows users to add key points, and saves responses in a downloadable JSON format for tracking.",,"LLM, GenAI",https://doctalk.straivedemo.com/,,https://raw.githubusercontent.com/badal0091/solution-page/main/image.png,,,,
21,Incident Analysis,ScotiaBank,"The application provides incident analytics and visualizations through Sankey and network graphs. Sankey flow reveals correlations between shift, region, team, and service, while network flow displays service dependencies, incident counts, and duration. An integrated LLM generates answers, key concerns, solutions, and recommendations for problematic operational areas based on incident data.",,"LLM, GenAI",https://incidents.straive.app/,,https://raw.githubusercontent.com/badal0091/solution-page/main/image (1).png,,,,
22,Data Lineage,," This application loads CSV or SQLite data, then uses an LLM to generate SQL queries and display results. It offers dynamic category filtering, a lineage diagram via D3, and Chart.js visuals. The app also includes a dark-mode toggle, sample questions and robust data management for user convenience.",,"LLM, GenAI",https://mounesh301.github.io/Data-Lineage/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130340.png,,,,
